ArchivalInfoSource	LakeAbsoluteHeight	LakeId	LakeLength	LakeMaxDepth	LakeMirrorArea	LakeShorelineLength	LakeWaterMass	LakeWidth	SurveyYear
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	625.7	600760	2.8	3.5	4.5	10	7.537	2.2	1946
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	254.9	303310	2.3	3.7	2.9	13.6	7.4	1.2	1943
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	120	400010	1.8	2.83	0	5.2	7.3	1.5	1945
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	343	200240	3.1	2.9	3.71	10	7.1	1.7	1956
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	280.3	403490	7.5	1.3	0	20.3	7.1	3.1	1945
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	344	200170	2.5	3.5	2.62	9.2	7	1.4	1956
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	433.5	705380	2.8	2.3	5	8.2	7	2.2	1958
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	645.8	600870	6.8		26.5	25.5	66	6	1946
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	1449.3	303050	38	23.8	455	95.5	6567	19	1945
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	201.9	701900	8.2	2.5	0	24.6	60.4	6.2	1944
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	335	800400	6.1	8	16.12	18.6	60.4	2.8	196
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	349	200920	7.9	6	4.97	17.4	6.9	1.2	1962
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	824.7	600890	2.3	4.6	2.23	6.3	6.869	1.5	1958
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	344	200160	2.1	3.5	3.42	18.8	6.8	1.9	1956
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	368.7	402330	2.5	2.7	0	7.1	6.6	1.7	1945
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	385	600390	4.5	2	6.2	12.8	6.583	2.5	
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	339.7	705430	2.2	2.7	3.12	7	6.5	1.9	1944
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	409	303420	4.3	2.9	5.08	15	6.5	2.1	1957
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	168.9	700780	3.1	2.6	0	10.2	6.4	1.7	1944
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	343	200110	5.4	2.8	4.22	13.5	6.3	1.3	1956
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	639.3	303070	2	6.6	0	5.2	6.1	1	1945
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	188.2	100140	8.7	2.5	13.3	0	6	3.1	196
